B*BAR0    33.392468
OMEGA      3.510813
OMEGA      1.435704
PI-        0.416661
PI+        0.730952
A_1-       1.946041
RHO-       1.345460
PI+        1.666038
PI+        2.926327
PI-        0.245762
PI+        0.085572
GAMMA      0.464741
PI+        0.787432
PI-        2.337489
PI0        0.435021
PI+        0.297288
PI-        0.902580
PI0        0.369203
RHO0       1.098165
PI-        0.950760
PI-        0.088954
PI0        1.378112
GAMMA      0.013237
GAMMA      0.442243
GAMMA      0.071506
GAMMA      0.321599
PI+        0.417575
PI-        0.890060
GAMMA      1.062947
GAMMA      0.321759
PI-       10.663499
K+         3.128932
PI0        4.964823
PI+        1.297734
K-         3.110285
PI0        6.949636
GAMMA      3.340994
GAMMA      1.625663
GAMMA      2.592360
GAMMA      4.358586
N          7.184055
PBAR       7.707789
PI0        1.006841
K*BAR0    11.014888
PI+        4.160535
PI0        2.105377
GAMMA      0.653550
GAMMA      0.362299
K-         3.793405
PI+        7.224536
E+         0.587986
E-         0.870066
GAMMA      0.651647
GAMMA      0.006107
B*BAR0    27.875900
PI0        0.344426
RHO+       0.513929
ETA        1.203823
PI0        2.357709
RHO+       4.423743
DELTA-     1.415513
DELTABR0   2.341713
DELTA++    6.699323
DLTABR--   2.728858
PI+        1.020558
PI-        0.577202
RHO0       2.454280
PI-        0.387607
K-         0.898499
PI+        2.230643
PI0        1.582608
K0         1.495348
PI0        1.160603
RHO-       5.498903
PI0        0.968671
PI0        2.266755
PI0        0.247676
B*+       16.912785
GAMMA      0.186995
GAMMA      0.253476
GAMMA      0.116454
PI+        0.564999
PI0        0.316165
PI+        0.191913
PI-        0.726135
PI0        0.318227
GAMMA      0.676773
GAMMA      1.684797
PI+        0.665322
PI0        3.808061
N          0.926419
PI-        0.539313
NBAR       2.161511
PI0        0.255695
P          4.261978
PI+        2.443644
PBAR       1.746014
PI-        1.002255
PI+        0.482814
PI-        2.064940
GAMMA      0.967951
GAMMA      0.620402
K_L0       1.495348
GAMMA      0.626953
GAMMA      0.541473
